pm,keyword,score
Rajiv Gandhi,lanka spurt violence,0.4397
Rajiv Gandhi,zia pakistan visited,0.4178
Rajiv Gandhi,world total nuclear,0.4073
Rajiv Gandhi,nonaligned countries harare,0.7599
Rajiv Gandhi,justice movement remained,0.6347
Rajiv Gandhi,25th anniversary founding,0.5997
Rajiv Gandhi,nkrumah nasser warm,0.5947
Rajiv Gandhi,fund africa fund,0.5813
Rajiv Gandhi,fathers nehru tito,0.5678
Rajiv Gandhi,disarmament concern growing,0.5674
Rajiv Gandhi,extinction conference adopted,0.5637
Rajiv Gandhi,september memorable,0.5576
Rajiv Gandhi,gandhi role,0.5377
Rajiv Gandhi,live world free,0.5153
Rajiv Gandhi,common cultural heritage,0.5101
Rajiv Gandhi,official visits indonesia,0.4814
Rajiv Gandhi,step comprehensive test,0.451
Rajiv Gandhi,thailand visits countries,0.7199
Rajiv Gandhi,soeharto reflected,0.6499
Rajiv Gandhi,relations australia zealand,0.6187
Rajiv Gandhi,indonesia common cultural,0.5899
Rajiv Gandhi,goodwill exists indiain,0.5833
Rajiv Gandhi,expanding trade economic,0.5688
Rajiv Gandhi,technology agreement signed,0.5571
Rajiv Gandhi,13th 20th october,0.556
Rajiv Gandhi,perceptions major international,0.5457
Rajiv Gandhi,movement talks president,0.5306
Rajiv Gandhi,links interesting discussions,0.5059
Rajiv Gandhi,consensus sanctions pretoria,0.4839
Rajiv Gandhi,agreed need greater,0.4746
Rajiv Gandhi,agriculture space meteorology,0.4696
Rajiv Gandhi,close identity views,0.4053
Rajiv Gandhi,gorbachev visit,0.7927
Rajiv Gandhi,gandhiji lenin expression,0.6197
Rajiv Gandhi,bilateral agreements,0.5942
Rajiv Gandhi,world peace stood,0.5767
Rajiv Gandhi,general secretary central,0.5622
Rajiv Gandhi,violence indiain,0.5577
Rajiv Gandhi,kamentsov working details,0.5515
Rajiv Gandhi,common vision nuclear,0.546
Rajiv Gandhi,modernization bokaro steel,0.5246
Rajiv Gandhi,25th,0.5193
Rajiv Gandhi,mines oil exploration,0.4981
Rajiv Gandhi,confidence trust discussed,0.4759
Rajiv Gandhi,academy sciences,0.4637
Rajiv Gandhi,tehri hydro electric,0.4393
Rajiv Gandhi,expression declaration declaration,0.4121
Rajiv Gandhi,sentence punjab accord,0.7079
Rajiv Gandhi,hon assam agitated,0.618
Rajiv Gandhi,settle differences talking,0.6035
Rajiv Gandhi,rise support president,0.5899
Rajiv Gandhi,blocking centre remains,0.532
Rajiv Gandhi,yes having,0.5303
Rajiv Gandhi,sheikh 1975,0.5278
Rajiv Gandhi,mizoram vein relevant,0.5182
Rajiv Gandhi,records straight heard,0.478
Rajiv Gandhi,details pros cons,0.4685
Rajiv Gandhi,specially thank little,0.4516
Rajiv Gandhi,fruit forces secularism,0.4481
Rajiv Gandhi,amity goodwill,0.4411
Rajiv Gandhi,dattaji,0.8818999999999999
Rajiv Gandhi,bariki bariki,0.4227
Rajiv Gandhi,accords punjab assam,0.6962
Rajiv Gandhi,chief afternoon,0.6139
Rajiv Gandhi,national integrity nation,0.6081
Rajiv Gandhi,political going difficult,0.5804
Rajiv Gandhi,implementation,0.5762
Rajiv Gandhi,pending stopping blocking,0.5656
Rajiv Gandhi,join light communalism,0.56
Rajiv Gandhi,mizoram gone,0.5576
Rajiv Gandhi,problems accord does,0.5556
Rajiv Gandhi,centre remains know,0.5492
Rajiv Gandhi,does say,0.5227
Rajiv Gandhi,steps separate,0.505
Rajiv Gandhi,required balance,0.4931
Rajiv Gandhi,pointed highlights economy,0.4907
Rajiv Gandhi,fanatics fundamentalists terrorists,0.4549
Rajiv Gandhi,panditji said socialism,0.7088
Rajiv Gandhi,separate religion politics,0.6784
Rajiv Gandhi,economy despondency results,0.5955
Rajiv Gandhi,sitting hon speaking,0.569
Rajiv Gandhi,idea ideas remain,0.5679
Rajiv Gandhi,important important delivery,0.543
Rajiv Gandhi,ideologies basic philosophies,0.5336
Rajiv Gandhi,numbers want tax,0.5275
Rajiv Gandhi,temples called manifestations,1.1278000000000001
Rajiv Gandhi,17 ministership periods,0.5156
Rajiv Gandhi,road indiraji,0.5127
Rajiv Gandhi,cooperation section successful,0.4965
Rajiv Gandhi,going difficult definitions,0.4608
Rajiv Gandhi,depth illusion quick,0.4288
Rajiv Gandhi,steel plants massive,0.405
Rajiv Gandhi,agricultural growth,0.6569
Rajiv Gandhi,seventh plan envisaged,0.6303
Rajiv Gandhi,villages hear,0.5995
Rajiv Gandhi,scheduled tribes disadvantaged,0.5801
Rajiv Gandhi,change technology,0.5493
Rajiv Gandhi,cost programme time,0.5475
Rajiv Gandhi,lies ideas laid,0.5455
Rajiv Gandhi,rs 3600 1986,0.526
Rajiv Gandhi,tremendous importance anti,0.5221
Rajiv Gandhi,right,0.504
Rajiv Gandhi,facing bad rains,0.4916
Rajiv Gandhi,number different states,0.4863
Rajiv Gandhi,achievement investment public,0.466
Rajiv Gandhi,comfortable used large,0.4197
Rajiv Gandhi,importance anti poverty,0.7847
Rajiv Gandhi,sixth plan,0.5938
Rajiv Gandhi,given tremendous,0.5529
Rajiv Gandhi,grasp programmes direct,0.5239
Rajiv Gandhi,60 ago really,0.5166
Rajiv Gandhi,1986 87,0.5079
Rajiv Gandhi,allocate allocated rs,0.5031
Rajiv Gandhi,technology industry develops,0.4889
